party,mean,perc_2.5,perc_97.5,date
Democrat,0.1256493161942038,0.0825688073394495,0.1631799163179916,2011-01-01
Republican,0.0945890871036476,0.0707070707070707,0.1202404809619238,2011-01-01
Democrat,0.1234606963329058,0.0727272727272727,0.1646341463414634,2011-02-01
Republican,0.1138659591748559,0.0823045267489712,0.1431578947368421,2011-02-01
Democrat,0.0957184154833002,0.0622950819672131,0.1288343558282208,2011-03-01
Republican,0.1092471613928818,0.0806451612903225,0.1316793893129771,2011-03-01
Democrat,0.0820468070449388,0.0462184873949579,0.1151079136690647,2011-04-01
Republican,0.0933023798942524,0.0699432892249527,0.1175438596491228,2011-04-01
Democrat,0.0814934001024006,0.0556962025316455,0.1150895140664961,2011-05-01
Republican,0.0877471228143917,0.0677290836653386,0.109090909090909,2011-05-01
Democrat,0.0872907817322026,0.0645756457564575,0.1079646017699115,2011-06-01
Republican,0.079564634397141,0.0589147286821705,0.0972222222222222,2011-06-01
Democrat,0.0979995843650676,0.0708502024291498,0.1277445109780439,2011-07-01
Republican,0.0912549656794268,0.0662650602409638,0.115919629057187,2011-07-01
Democrat,0.0940205391879777,0.0683229813664596,0.1183294663573085,2011-08-01
Republican,0.1000017546797117,0.0767888307155322,0.1296625222024866,2011-08-01
Democrat,0.107084853963319,0.0857142857142857,0.1323308270676691,2011-09-01
Republican,0.0914796750313919,0.0754491017964071,0.1099537037037037,2011-09-01
Democrat,0.0909588422613946,0.0743801652892562,0.1144859813084112,2011-10-01
Republican,0.0776601630414634,0.0601415094339622,0.0949656750572082,2011-10-01
Democrat,0.099184654925735,0.075043630017452,0.1233108108108108,2011-11-01
Republican,0.0884412017651121,0.0694935217903415,0.1021739130434782,2011-11-01
Democrat,0.063064862793013,0.0441176470588235,0.0817490494296578,2011-12-01
Republican,0.0561259333632874,0.0377358490566037,0.0752565564424173,2011-12-01
Democrat,0.085745711168223,0.0667372881355932,0.1018518518518518,2012-01-01
Republican,0.0855884646480883,0.0707666385846672,0.1035120147874306,2012-01-01
Democrat,0.0752711245559511,0.0584415584415584,0.0893015030946065,2012-02-01
Republican,0.0851850449228807,0.0703902065799541,0.100398406374502,2012-02-01
Democrat,0.0839877182844124,0.0733240223463687,0.0976809557273366,2012-03-01
Republican,0.0890939447353471,0.0734141126158232,0.1054766734279918,2012-03-01
Democrat,0.0962448564689749,0.0799031476997578,0.1157154026583268,2012-04-01
Republican,0.0835890653600277,0.0678832116788321,0.0979563072586328,2012-04-01
Democrat,0.108412288763449,0.0921052631578947,0.1237237237237237,2012-05-01
Republican,0.0825003931079893,0.0670391061452514,0.0983231707317073,2012-05-01
