party,date,tweet_count
Republican,2010-11-06,3
Democrat,2010-11-07,3
Republican,2010-11-07,6
Democrat,2010-11-08,5
Republican,2010-11-08,17
Democrat,2010-11-09,7
Republican,2010-11-09,22
Democrat,2010-11-10,1
Republican,2010-11-10,21
Democrat,2010-11-11,5
Republican,2010-11-11,37
Democrat,2010-11-12,3
Republican,2010-11-12,17
Republican,2010-11-13,10
Republican,2010-11-14,10
Democrat,2010-11-15,5
Republican,2010-11-15,20
Democrat,2010-11-16,9
Republican,2010-11-16,23
Democrat,2010-11-17,6
Republican,2010-11-17,31
Democrat,2010-11-18,5
Republican,2010-11-18,26
Democrat,2010-11-19,2
Republican,2010-11-19,27
Republican,2010-11-20,5
Republican,2010-11-21,3
Democrat,2010-11-22,4
Republican,2010-11-22,19
Democrat,2010-11-23,8
Republican,2010-11-23,5
Democrat,2010-11-24,6
Republican,2010-11-24,12
Democrat,2010-11-25,3
Republican,2010-11-25,15
Democrat,2010-11-26,1
Republican,2010-11-26,4
Democrat,2010-11-27,1
Republican,2010-11-27,4
Democrat,2010-11-28,1
Republican,2010-11-28,2
Democrat,2010-11-29,6
Republican,2010-11-29,24
Democrat,2010-11-30,8
Republican,2010-11-30,19
Democrat,2010-12-01,5
Republican,2010-12-01,18
Democrat,2010-12-02,4
Republican,2010-12-02,21
Democrat,2010-12-03,7
Republican,2010-12-03,26
Republican,2010-12-04,6
Democrat,2010-12-05,2
Republican,2010-12-05,4
Democrat,2010-12-06,4
Republican,2010-12-06,9
Democrat,2010-12-07,4
Republican,2010-12-07,24
Democrat,2010-12-08,6
Republican,2010-12-08,21
Democrat,2010-12-09,6
Republican,2010-12-09,19
Democrat,2010-12-10,4
Republican,2010-12-10,23
Democrat,2010-12-11,2
Republican,2010-12-11,6
Democrat,2010-12-12,2
Republican,2010-12-12,6
Democrat,2010-12-13,1
Republican,2010-12-13,20
Democrat,2010-12-14,2
Republican,2010-12-14,17
Democrat,2010-12-15,6
Republican,2010-12-15,22
Democrat,2010-12-16,1
Republican,2010-12-16,16
Democrat,2010-12-17,4
Republican,2010-12-17,27
Democrat,2010-12-18,4
Republican,2010-12-18,4
Republican,2010-12-19,4
Democrat,2010-12-20,2
Republican,2010-12-20,21
Democrat,2010-12-21,9
Republican,2010-12-21,20
Democrat,2010-12-22,11
Republican,2010-12-22,13
Democrat,2010-12-23,8
Republican,2010-12-23,12
Democrat,2010-12-24,2
Republican,2010-12-24,10
Republican,2010-12-25,12
Republican,2010-12-26,2
Democrat,2010-12-27,3
Republican,2010-12-27,4
Democrat,2010-12-28,2
Republican,2010-12-28,5
Democrat,2010-12-29,2
Republican,2010-12-29,7
Republican,2010-12-30,12
Democrat,2010-12-31,3
Republican,2010-12-31,8
Democrat,2011-01-01,3
Republican,2011-01-01,8
Democrat,2011-01-02,4
Republican,2011-01-02,7
Democrat,2011-01-03,5
Republican,2011-01-03,21
Democrat,2011-01-04,7
Republican,2011-01-04,18
Democrat,2011-01-05,12
Republican,2011-01-05,46
Democrat,2011-01-06,14
Republican,2011-01-06,22
Democrat,2011-01-07,7
Republican,2011-01-07,31
Democrat,2011-01-08,11
Republican,2011-01-08,18
Democrat,2011-01-09,10
Republican,2011-01-09,7
Democrat,2011-01-10,8
Republican,2011-01-10,18
Democrat,2011-01-11,2
Republican,2011-01-11,20
Democrat,2011-01-12,14
Republican,2011-01-12,23
Democrat,2011-01-13,13
Republican,2011-01-13,19
Democrat,2011-01-14,12
Republican,2011-01-14,19
Republican,2011-01-15,3
Republican,2011-01-16,2
Democrat,2011-01-17,14
Republican,2011-01-17,11
Democrat,2011-01-18,5
Republican,2011-01-18,20
Democrat,2011-01-19,15
Republican,2011-01-19,35
