handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,NG_score_mean,belief_share,truth_share,belief_share_2010_to_2013,truth_share_2010_to_2013,belief_share_2019_to_2022,truth_share_2019_to_2022,ideology_mean,followers_count_log,following_count_log
RepLipinski,1009269193,Former Rep. Daniel Lipinski,Democrat,3179,19893.0,2478.0,4359.0,2012-12-13 17:03:06+00:00,116.0,93.19343891402715,0.0506769825918762,0.1880077369439071,,,0.0539340101522842,0.2144670050761421,0.471657023591997,9.898123190036978,7.815207062189088
CaptClayHiggins,1011053278304592000,Clay Higgins,Republican,21,3289.0,156.0,24.0,2018-06-25 01:07:40+00:00,116.0,,0.0,0.2307692307692307,,,0.0,0.1818181818181818,0.282968927601934,8.098338846189057,5.049856007249537
SenBillCassidy,1017500185356852992,"U.S. Senator Bill Cassidy, M.D.",Republican,3691,49027.0,1420.0,5979.0,2018-07-12 20:05:23+00:00,116.0,90.48023064250413,0.0871475649945075,0.1750274624679604,,,0.0871475649945075,0.1750274624679604,0.7970082020568068,10.800126445744926,7.258412150595307
RepWexton,1017819745880542976,Rep. Jennifer Wexton,Democrat,3488,33067.0,1344.0,4572.0,2018-07-13 17:15:12+00:00,117.0,93.31740027510315,0.0670630987776676,0.2117608192930294,,,0.0670630987776676,0.2117608192930294,0.2808013342188269,10.406291085199207,7.203405521083095
AugustPfluger,1021216905795899008,August Pfluger,Republican,1912,5198.0,216.0,2061.0,2018-07-23 02:14:18+00:00,117.0,85.29645270270271,0.0564516129032258,0.1566820276497695,,,0.0564516129032258,0.1566820276497695,,8.556029215201436,5.375278407684165
DickBlumenthal,102477372,Richard Blumenthal,Democrat,11,4697.0,592.0,267.0,2010-01-06 20:56:57+00:00,115.0,,0.0,0.1818181818181818,0.0,0.0,,,0.0918616427725459,8.454679286026995,6.3835066348840055
RepTimBurchett,1028854804087492992,Rep. Tim Burchett,Republican,1375,23513.0,608.0,1542.0,2018-08-13 04:04:35+00:00,117.0,83.21153846153847,0.0679442508710801,0.1332752613240418,,,0.068003487358326,0.1325196163905841,0.6628177605505958,10.065308738667605,6.410174881966167
Lancegooden,1029094268542098944,Lance Gooden,Republican,2104,172516.0,236.0,2412.0,2018-08-13 19:56:08+00:00,117.0,82.64,0.0781078107810781,0.1556655665566556,,,0.0781078107810781,0.1556655665566556,0.75312644619917,12.058245264775389,5.4638318050256105
RepMarkTakano,1037321378,Mark Takano,Democrat,3375,59821.0,601.0,6216.0,2012-12-26 14:58:17+00:00,117.0,94.70754716981132,0.0705024311183144,0.1782820097244732,,,0.0710336027222458,0.17524457677584,0.1596640863866638,10.999112048861333,6.398594934535208
RepBalderson,1037341536592310016,Congressman Troy Balderson,Republican,2396,5840.0,617.0,2638.0,2018-09-05 14:07:50+00:00,117.0,92.9157894736842,0.0497109826589595,0.1485549132947977,,,0.0500883912787271,0.1490866234531526,0.6522722802445647,8.672486075822272,6.424869023905388
