component,party,proportion,topic_name
belief-speaking,Democrat,0.07142015321154979,abortion $\vert$ woman $\vert$ right $\vert$ life
truth-seeking,Democrat,0.09994107248084855,abortion $\vert$ woman $\vert$ right $\vert$ life
belief-speaking,Republican,0.09426164361786679,abortion $\vert$ woman $\vert$ right $\vert$ life
truth-seeking,Republican,0.11190589731362262,abortion $\vert$ woman $\vert$ right $\vert$ life
belief-speaking,Democrat,0.054800603961275424,gun $\vert$ violence $\vert$ background $\vert$ shooting
truth-seeking,Democrat,0.10853539390709654,gun $\vert$ violence $\vert$ background $\vert$ shooting
belief-speaking,Republican,0.08908839779005523,gun $\vert$ violence $\vert$ background $\vert$ shooting
truth-seeking,Republican,0.1408839779005525,gun $\vert$ violence $\vert$ background $\vert$ shooting
belief-speaking,Democrat,0.0693943539360776,vaccine $\vert$ vaccinate $\vert$ mandate $\vert$ covid19
truth-seeking,Democrat,0.25245616216888445,vaccine $\vert$ vaccinate $\vert$ mandate $\vert$ covid19
belief-speaking,Republican,0.09835680751173709,vaccine $\vert$ vaccinate $\vert$ mandate $\vert$ covid19
truth-seeking,Republican,0.21525821596244132,vaccine $\vert$ vaccinate $\vert$ mandate $\vert$ covid19
belief-speaking,Democrat,0.09218506324727084,putin $\vert$ ukraine $\vert$ russia $\vert$ russian
truth-seeking,Democrat,0.15525905389014036,putin $\vert$ ukraine $\vert$ russia $\vert$ russian
belief-speaking,Republican,0.0821387059279349,putin $\vert$ ukraine $\vert$ russia $\vert$ russian
truth-seeking,Republican,0.11371561410306082,putin $\vert$ ukraine $\vert$ russia $\vert$ russian
belief-speaking,Democrat,0.0625,china $\vert$ communist $\vert$ chinese $\vert$ regime
truth-seeking,Democrat,0.12768817204301075,china $\vert$ communist $\vert$ chinese $\vert$ regime
belief-speaking,Republican,0.07469170403587444,china $\vert$ communist $\vert$ chinese $\vert$ regime
truth-seeking,Republican,0.1680213004484305,china $\vert$ communist $\vert$ chinese $\vert$ regime
belief-speaking,Democrat,0.055846210001216694,lgbtq $\vert$ equality $\vert$ discrimination $\vert$ pride
truth-seeking,Democrat,0.08091008638520501,lgbtq $\vert$ equality $\vert$ discrimination $\vert$ pride
belief-speaking,Republican,0.12334801762114538,lgbtq $\vert$ equality $\vert$ discrimination $\vert$ pride
truth-seeking,Republican,0.11894273127753303,lgbtq $\vert$ equality $\vert$ discrimination $\vert$ pride
belief-speaking,Democrat,0.06921140939597316,afghanistan $\vert$ withdrawal $\vert$ biden $\vert$ ally
truth-seeking,Democrat,0.14848993288590603,afghanistan $\vert$ withdrawal $\vert$ biden $\vert$ ally
belief-speaking,Republican,0.0864807624426403,afghanistan $\vert$ withdrawal $\vert$ biden $\vert$ ally
truth-seeking,Republican,0.14684080480056477,afghanistan $\vert$ withdrawal $\vert$ biden $\vert$ ally
belief-speaking,Democrat,0.08786848072562359,impeachment $\vert$ impeach $\vert$ trial $\vert$ inquiry
truth-seeking,Democrat,0.39200680272108845,impeachment $\vert$ impeach $\vert$ trial $\vert$ inquiry
belief-speaking,Republican,0.09281862049389725,impeachment $\vert$ impeach $\vert$ trial $\vert$ inquiry
truth-seeking,Republican,0.3931308543854669,impeachment $\vert$ impeach $\vert$ trial $\vert$ inquiry
belief-speaking,Democrat,0.0607669616519174,border $\vert$ refugee $\vert$ southern $\vert$ biden
truth-seeking,Democrat,0.14926253687315635,border $\vert$ refugee $\vert$ southern $\vert$ biden
belief-speaking,Republican,0.07161904761904762,border $\vert$ refugee $\vert$ southern $\vert$ biden
truth-seeking,Republican,0.14323809523809525,border $\vert$ refugee $\vert$ southern $\vert$ biden
belief-speaking,Democrat,0.035623409669211195,opioid $\vert$ epidemic $\vert$ addiction $\vert$ combat
